period,maximum,minimum,mean,volatilty,fd
1,1.4941541,0.669205,0.763646756,0.8249491,0
2,1.49387,0.6692,0.788606963,0.82467,2342.755284
3,1.49326,0.6696,0.770377708,0.82366,2040.890659
4,1.49235,0.67,0.76364347,0.82235,1744.999088
5,1.49325,0.669745,0.784212714,0.823505,1985.415996
6,1.4935739,0.669475,0.79552166,0.8240989,2445.094879
7,1.49295,0.6697,0.786419597,0.82325,1992.104464
8,1.4925262,0.669985,0.786695423,0.8225412,2043.666627
9,1.49233,0.67,0.770597465,0.82233,2044.191505
10,1.49281585,0.669885,0.756801658,0.82293085,1743.767414
11,1.49255,0.669885,0.798021967,0.822665,2093.197109
12,1.49130195,0.6704,0.768546502,0.82090195,1748.077222
13,1.49209205,0.6702,0.731897596,0.82189205,1191.153996
14,1.49242,0.67,0.793406176,0.82242,2281.072931
15,1.49255,0.669985,0.786575712,0.822565,2056.980299
16,1.49322,0.669665,0.770347283,0.823555,1692.661692
17,1.49387525,0.669445,0.790845589,0.82443025,2337.371779
18,1.4935739,0.669535,0.758757134,0.8240389,1641.912779
19,1.49337315,0.6696,0.79548509,0.82377315,2333.166601
20,1.49397555,0.6693,0.751766348,0.82467555,1499.983842
21,1.49387525,0.6694,0.788543425,0.82447525,1843.596882
22,1.49235,0.6701,0.802697209,0.82225,2535.725144
23,1.49145765,0.6704,0.77993669,0.82105765,2005.949278
24,1.49145,0.670465,0.791386595,0.820985,2297.24051
25,1.49153,0.6704,0.782195624,0.82113,2147.041272
26,1.4916469,0.670415,0.763917074,0.8212319,1747.374889
27,1.49142445,0.6704,0.757101471,0.82102445,1598.003567
28,1.49142445,0.6705,0.766294951,0.82092445,1897.860394
29,1.49104,0.670585,0.764108567,0.820455,1799.001773
30,1.4903241,0.670975,0.79163372,0.8193491,2345.764461
31,1.49053525,0.6709,0.787101203,0.81963525,2208.299362
32,1.48948,0.6712,0.75311554,0.81828,1703.573349
33,1.48986905,0.6712,0.766698958,0.81866905,1978.821601
34,1.4896137,0.6712,0.791889413,0.8184137,2204.264176
35,1.48834995,0.671845,0.780737075,0.81650495,2058.775026
36,1.487995,0.671955,0.769715549,0.81604,1909.220136
37,1.4854758,0.6732,0.747713424,0.8122758,1413.313064
38,1.4842631,0.6737,0.782131792,0.8105631,2073.86692
39,1.4828,0.6744,0.778018161,0.8084,1977.981197
40,1.48193155,0.674775,0.773753006,0.80715655,1879.437143
41,1.48075,0.67535,0.796331322,0.8054,2148.000993
42,1.480875,0.675185,0.782856078,0.80569,2004.493043
43,1.4822061,0.6746,0.778043241,0.8076061,2030.692933
44,1.48187665,0.674695,0.782566114,0.80718165,1930.172719
45,1.481975,0.6747,0.784902956,0.807275,2031.525812
46,1.481845,0.674765,0.784822579,0.80708,2133.617485
47,1.483135,0.6742,0.786687246,0.808935,2027.356957
48,1.482305,0.674565,0.777905065,0.80774,2081.11521
49,1.482875,0.674335,0.816032909,0.80854,2629.430826
50,1.482105,0.6746,0.771333573,0.807505,1891.009963
51,1.483575,0.673885,0.780031154,0.80969,1873.556546
52,1.4839,0.674005,0.788829797,0.809895,2176.825391
53,1.483055,0.6742,0.811448303,0.808855,2635.824715
54,1.48359145,0.674,0.764108298,0.80959145,1721.856129
55,1.48345,0.6741,0.789147759,0.80935,2121.455489
