period,maximum,minimum,mean,volatilty,fd
1,1.03295,0.9682,0.953921685,0.06475,0
2,1.03245,0.96845,0.955563454,0.064,22562.5
3,1.032545,0.96845,0.952373705,0.064095,22638.27132
4,1.03285,0.968335,0.94088663,0.064515,25947.45408
5,1.03285,0.96825,0.961926407,0.0646,22987.6161
6,1.032195,0.96875,0.946448635,0.063445,23973.52037
7,1.032155,0.96885,0.94717514,0.063305,29634.31009
8,1.03235,0.96855,0.9346789,0.0638,23197.49216
9,1.032255,0.96875,0.949941045,0.063505,23320.99835
10,1.03245,0.968645,0.961908468,0.063805,21048.50717
11,1.03185,0.969185,0.952679889,0.062665,22404.85119
12,1.032395,0.968735,0.934699749,0.06366,25761.85988
13,1.03245,0.96865,0.959676045,0.0638,21316.61442
14,1.03225,0.968775,0.930153148,0.063475,22670.34265
15,1.03245,0.96865,0.945356546,0.0638,30094.04389
16,1.03225,0.96875,0.939077786,0.0635,21417.32283
17,1.03205,0.96905,0.942786964,0.063,25968.25397
18,1.03215,0.96875,0.92047067,0.0634,22712.93375
19,1.03245,0.96865,0.953457047,0.0638,26959.24765
20,1.03235,0.96865,0.936290071,0.0637,20722.13501
21,1.032715,0.968305,0.948095762,0.06441,29188.01428
22,1.03335,0.967785,0.938508357,0.065565,23793.18234
23,1.03335,0.9677265,0.961807742,0.0656235,22370.03512
24,1.03335,0.96785,0.913424811,0.0655,21984.73282
25,1.03325,0.9678205,0.92680434,0.0654295,23536.78387
26,1.03355,0.967595,0.947866033,0.065955,22030.17209
27,1.03347,0.9675395,0.916978499,0.0659305,18367.82673
28,1.03345,0.9677265,0.934858312,0.0657235,27935.21343
29,1.033575,0.96745,0.907470357,0.066125,27463.138
30,1.03345,0.967635,0.952140391,0.065815,27410.16486
31,1.03377,0.967345,0.930536352,0.066425,30124.20023
32,1.03385,0.96735,0.947518832,0.0665,25338.34586
33,1.03375,0.96745,0.930828143,0.0663,18898.94419
34,1.034355,0.966905,0.942625827,0.06745,20637.50927
35,1.034525,0.966697,0.923666795,0.067828,18871.26261
36,1.03485,0.966445,0.916494972,0.068405,20466.34018
37,1.035615,0.965775,0.962495838,0.06984,23553.83734
38,1.038415,0.96321,0.947718302,0.075205,19559.86969
39,1.039545,0.96196,0.94299555,0.077585,18650.51234
40,1.03955,0.96197,0.970376397,0.07758,22828.04847
41,1.041785,0.96005,0.955755107,0.081735,20064.8437
42,1.04095,0.96068,0.935825908,0.08027,16519.24754
43,1.04119,0.96066,0.951964916,0.08053,19458.58686
44,1.04165,0.96019,0.959441848,0.08146,22047.63074
45,1.04168,0.9602,0.942040237,0.08148,16494.84536
46,1.04141,0.96025,0.945880104,0.08116,14933.46476
47,1.04122,0.96045,0.952799624,0.08077,17865.54414
48,1.04134,0.96032,0.969805968,0.08102,17983.21402
49,1.041105,0.96056,0.920360823,0.080545,24346.63853
50,1.040925,0.960661,0.954417294,0.080264,19435.86166
51,1.0407,0.96085,0.96945972,0.07985,20513.46274
52,1.039865,0.96173,0.961341128,0.078135,21667.62654
53,1.039615,0.96196,0.928057667,0.077655,20681.21821
54,1.039675,0.9618,0.971572418,0.077875,23113.96469
55,1.04035,0.961215,0.95883266,0.079135,18765.4009
56,1.041105,0.96095,0.939430209,0.080155,10479.69559
57,1.040745,0.96091,0.940086864,0.079835,20392.05862
58,1.04115,0.9606,0.921131379,0.08055,20881.4401
59,1.04146,0.96029,0.96377123,0.08117,20204.50906
60,1.04238,0.959279,0.94372187,0.083101,21383.61753
61,1.04356,0.95847,0.937121128,0.08509,13221.2951
62,1.04357,0.95829,0.967089513,0.08528,16533.77111
63,1.043485,0.9584,0.946849635,0.085085,15560.90968
64,1.04367,0.95814,0.91720266,0.08553,20109.90296
65,1.04345,0.95844,0.960518677,0.08501,21126.92624
66,1.04286,0.9589,0.946615724,0.08396,10945.68842
67,1.04275,0.95905,0.952196961,0.0837,19761.05137
68,1.041925,0.95978,0.934589653,0.082145,20415.11961
69,1.04185,0.95992,0.947792816,0.08193,18015.37898
70,1.04155,0.96026,0.951352634,0.08129,20150.07996
71,1.04105,0.9605685,0.926761829,0.0804815,19606.99043
72,1.0405,0.96121,0.936689337,0.07929,19674.61218
73,1.04101,0.96045,0.945690529,0.08056,16894.24032
74,1.041175,0.96051,0.944174964,0.080665,20826.87659
75,1.041245,0.96037,0.963608802,0.080875,19375.5796
