period,maximum,minimum,mean,volatilty,fd
1,1.139115,1.138555,1.13885085,0.00056,0
2,1.13962,1.1389,1.142434011,0.00072,433333.3333
3,1.1397,1.1392,1.142662758,0.0005,0
4,1.140065,1.13918,1.14271337,0.000885,0
5,1.1405,1.1398,1.143270877,0.0007,0
6,1.140435,1.139785,1.143179276,0.00065,0
7,1.1403,1.13996,1.143320557,0.00034,0
8,1.1405,1.13997,1.143450167,0.00053,0
9,1.14062,1.1402,1.143641518,0.00042,0
10,1.1408,1.1401,1.143605613,0.0007,0
11,1.141,1.140395,1.143813955,0.000605,0
12,1.14094,1.1403,1.143810292,0.00064,0
13,1.1405,1.1399,1.143411657,0.0006,0
14,1.1403,1.1398,1.14322078,0.0005,0
15,1.14,1.1396,1.143035292,0.0004,0
16,1.14,1.1395,1.142865696,0.0005,0
17,1.1397,1.1393,1.142686616,0.0004,0
18,1.1395,1.1391,1.14250195,0.0004,0
19,1.13961,1.1392,1.142551142,0.00041,0
20,1.1398,1.1394,1.14279624,0.0004,0
21,1.1398,1.1394,1.142812911,0.0004,0
22,1.14042,1.1396,1.143274318,0.00082,0
23,1.14031,1.1397,1.143293858,0.00061,0
24,1.1404,1.1399,1.143342326,0.0005,0
25,1.1404,1.1399,1.143443189,0.0005,0
26,1.1403,1.1399,1.143346657,0.0004,0
27,1.1404,1.1398,1.143253663,0.0006,0
28,1.13994,1.1393,1.142887145,0.00064,0
29,1.13984,1.1394,1.142845669,0.00044,0
30,1.1401,1.1394,1.14296663,0.0007,0
31,1.14032,1.1397,1.143143217,0.00062,0
32,1.1406,1.14025,1.143595766,0.00035,0
33,1.1408,1.1402,1.143707089,0.0006,0
34,1.1407,1.1402,1.143579192,0.0005,0
35,1.14152,1.140265,1.143990195,0.001255,0
36,1.14095,1.14,1.143731894,0.00095,5263.157895
37,1.1409,1.1399,1.143525084,0.001,0
38,1.1405,1.13832,1.142373719,0.00218,0
39,1.1386,1.13761,1.141227214,0.00099,103030.303
40,1.137945,1.1371,1.140701546,0.000845,0
41,1.13751,1.13627,1.140102465,0.00124,0
42,1.1377,1.1365,1.140192033,0.0012,95000
43,1.13752,1.135665,1.139975919,0.001855,27493.26146
44,1.13666,1.1355,1.139287312,0.00116,148275.8621
45,1.1372,1.1362,1.139912702,0.001,291000
46,1.13753,1.13666,1.140233538,0.00087,12643.67816
47,1.137,1.13628,1.139867994,0.00072,0
48,1.13777,1.1369,1.140595766,0.00087,0
49,1.13793,1.137,1.140600362,0.00093,0
50,1.13789,1.1371,1.140654248,0.00079,0
51,1.1381,1.137,1.140581045,0.0011,0
52,1.13841,1.1379,1.141277981,0.00051,386274.5098
53,1.1384,1.13752,1.141198579,0.00088,0
54,1.1377,1.13667,1.140452201,0.00103,0
55,1.13738,1.1363,1.139965808,0.00108,0
56,1.1373,1.1361,1.139898621,0.0012,833.3333333
57,1.13731,1.13675,1.140166922,0.00056,276785.7143
58,1.13797,1.13692,1.140582242,0.00105,0
59,1.1379,1.1371,1.140794652,0.0008,0
60,1.138,1.1371,1.140828635,0.0009,0
61,1.1376,1.13663,1.140154178,0.00097,0
62,1.1374,1.13639,1.140151407,0.00101,0
63,1.13838,1.1371,1.140931741,0.00128,140625
64,1.13861,1.13809,1.141513175,0.00052,300000
65,1.13945,1.13836,1.142072813,0.00109,0
66,1.1396,1.13816,1.142052772,0.00144,27083.33333
67,1.13873,1.13797,1.141508593,0.00076,46052.63158
68,1.1396,1.13838,1.142066086,0.00122,0
69,1.14005,1.1393,1.142931518,0.00075,244000
70,1.1405,1.1398,1.143386351,0.0007,0
71,1.14074,1.14001,1.143600362,0.00073,0
72,1.141,1.13994,1.143734359,0.00106,0
73,1.14255,1.1407,1.144803969,0.00185,93513.51351
74,1.1442,1.1422,1.146334373,0.002,60000
75,1.14447,1.1434,1.14708078,0.00107,130841.1215
76,1.14432,1.14361,1.147157549,0.00071,0
77,1.14454,1.14308,1.14706922,0.00146,0
78,1.14373,1.143,1.14655234,0.00073,93150.68493
79,1.14368,1.14257,1.146295084,0.00111,0
80,1.14538,1.1426,1.147152869,0.00278,128057.554
81,1.14781,1.1445,1.149062799,0.00331,64652.56798
82,1.14632,1.1453,1.148919749,0.00102,114705.8824
83,1.14799,1.1455,1.149584916,0.00249,56626.50602
84,1.1473,1.14637,1.14998039,0.00093,124731.1828
85,1.14712,1.14611,1.149834039,0.00101,0
86,1.14793,1.14678,1.150573426,0.00115,200000
87,1.14767,1.1461,1.150175153,0.00157,0
88,1.14703,1.14587,1.149708788,0.00116,155172.4138
89,1.147375,1.146,1.149795975,0.001375,29818.18182
90,1.1479,1.14677,1.15051344,0.00113,239823.0088
91,1.14785,1.145105,1.149528106,0.002745,3642.98725
92,1.14625,1.145,1.148833064,0.00125,93600
93,1.14722,1.145185,1.149264791,0.002035,67813.26781
94,1.14699,1.14577,1.149640139,0.00122,176229.5082
95,1.14802,1.1465,1.1504389,0.00152,173026.3158
96,1.14683,1.14489,1.148959624,0.00194,7731.958763
97,1.14582,1.1447,1.148351462,0.00112,173214.2857
98,1.146,1.14461,1.148585265,0.00139,66187.05036
99,1.14639,1.1458,1.149223078,0.00059,283050.8475
100,1.1466,1.14513,1.149355306,0.00147,0
