period,maximum,minimum,mean,volatilty,fd
1,1.331905,0.750815,1.090959735,0.58109,0
2,1.331775,0.750865,1.205383914,0.58091,988.1048699
3,1.33185,0.750925,1.139274847,0.580925,776.3480656
4,1.33145,0.751175,1.142798064,0.580275,777.2176985
5,1.33155,0.751155,1.143596234,0.580395,1176.784776
6,1.33163,0.750975,1.135274833,0.580655,1200.368549
7,1.33125,0.751245,1.185920364,0.580005,989.646641
8,1.33075,0.751565,1.096036908,0.579185,828.7507446
9,1.330755,0.751455,1.143209254,0.5793,890.7301916
10,1.331175,0.751315,1.175337298,0.57986,588.0729831
11,1.33125,0.75115,1.124403073,0.5801,1060.162041
12,1.33105,0.75145,1.160732433,0.5796,1273.291925
13,1.33085,0.75145,1.116666699,0.5794,1344.494304
14,1.33072,0.751525,1.13420156,0.579195,1132.606462
15,1.33075,0.75148135,1.107644004,0.57926865,1274.020267
16,1.33115,0.75125,1.156748828,0.5799,1131.229522
17,1.33125,0.75115,1.151033232,0.5801,1130.83951
18,1.33115,0.75125,1.105520428,0.5799,707.0184515
19,1.33115,0.751305,1.119234262,0.579845,919.2111685
20,1.33145,0.75115,1.141224359,0.5803,847.8373255
21,1.33145,0.75105,1.13369381,0.5804,823.5699518
22,1.33065,0.751605,1.111587382,0.579045,1157.077602
23,1.32995,0.7519,1.17760253,0.57805,1107.17066
24,1.329655,0.75205,1.138041912,0.577605,1225.751162
25,1.33015,0.751865,1.186641838,0.578285,921.6908618
26,1.32995,0.75195,1.119693758,0.578,1347.750865
27,1.32985,0.752025,1.09173883,0.577825,851.4688703
28,1.32975,0.752115,1.160451354,0.577635,922.7280203
29,1.329675,0.75205,1.155433913,0.577625,1064.704609
30,1.32935,0.752345,1.133605349,0.577005,852.6789196
31,1.32935,0.75225,1.130164944,0.5771,1491.942471
32,1.32897,0.75252755,1.149670218,0.57644245,1138.014732
33,1.329255,0.752345,1.138821508,0.57691,852.8193306
34,1.32915,0.752375,1.130599469,0.576775,1066.273677
35,1.32855,0.75275,1.146151603,0.5758,1114.970476
36,1.32842,0.752905,1.12853266,0.575515,1091.19658
37,1.32765,0.753225,1.122642883,0.574425,1213.3873
38,1.32725,0.753555,1.130013198,0.573695,929.0650956
39,1.32658,0.753815,1.184713065,0.572765,715.8258623
40,1.326575,0.75375,1.164197772,0.572825,1216.776502
41,1.32571,0.754315,1.164425014,0.571395,861.0505867
42,1.326195,0.754185,1.152449775,0.57201,1146.833097
43,1.32615,0.754095,1.125232493,0.572055,716.7143019
44,1.326575,0.753905,1.145426685,0.57267,644.3501493
45,1.326635,0.753935,1.144368217,0.5727,859.088528
46,1.326665,0.753845,1.132939972,0.57282,715.7571314
47,1.32695,0.75365,1.09677656,0.5733,858.1894296
48,1.32655,0.753965,1.130228701,0.572585,932.6126252
49,1.32645,0.753935,1.142771156,0.572515,1360.663039
50,1.32681,0.753735,1.146287368,0.573075,715.4386424
51,1.327795,0.753295,1.162176535,0.5745,999.129678
52,1.327685,0.753255,1.13266461,0.57443,1213.376739
53,1.32835,0.752885,1.134098315,0.575465,1211.194425
54,1.32828,0.75285,1.131190877,0.57543,855.0127731
55,1.32875,0.75265,1.127683022,0.5761,854.0183996
56,1.32775,0.753185,1.157110084,0.574565,837.1550651
57,1.32775,0.753255,1.157527632,0.574495,1141.872427
58,1.32767,0.753215,1.113058873,0.574455,1141.951937
59,1.327735,0.753215,1.171293816,0.57452,1355.914503
60,1.32725,0.753545,1.136773777,0.573705,571.7224009
61,1.32755,0.753345,1.158656387,0.574205,1213.852196
62,1.32765,0.753285,1.141104011,0.574365,1070.747695
63,1.327695,0.75325,1.142247646,0.574445,915.6664259
64,1.327265,0.753485,1.185839465,0.57378,857.4715048
65,1.32825,0.752935,1.15270351,0.575315,712.6530683
66,1.32875,0.752675,1.131859011,0.576075,996.3980384
67,1.329285,0.752335,1.192327883,0.57695,1563.393708
68,1.32975,0.752205,1.089362032,0.577545,1277.822507
69,1.32945,0.752245,1.115428356,0.577205,1491.67107
70,1.32985,0.75195,1.163154777,0.5779,1277.03755
71,1.329935,0.751995,1.169443552,0.57794,1347.890785
72,1.33038,0.751715,1.174832841,0.578665,779.3801249
73,1.329335,0.752315,1.131908148,0.57702,1207.930401
74,1.329335,0.7523,1.133395153,0.577035,1207.899001
75,1.32895,0.752545,1.121077087,0.576405,853.5665027
76,1.32865,0.752705,1.100613897,0.575945,1067.810294
77,1.328645,0.752745,1.135571128,0.5759,996.7008161
78,1.32859,0.752755,1.142319036,0.575835,996.8133233
79,1.329475,0.752235,1.126637284,0.57724,925.0918162
80,1.329175,0.752525,1.140206602,0.57665,560.1317957
81,1.325825,0.754245,1.171631574,0.57158,1189.684734
82,1.328415,0.752925,1.159778273,0.57549,926.1672662
83,1.327385,0.753525,1.140433189,0.57386,643.0139755
84,1.32795,0.753275,1.176813645,0.574675,1350.328447
85,1.32945,0.752475,1.143715446,0.576975,994.8437974
86,1.330025,0.752115,1.152125515,0.57791,780.3983319
87,1.331695,0.751015,1.148593816,0.58068,1482.744369
88,1.333585,0.750175,1.122226894,0.58341,1054.147169
89,1.33267,0.750485,1.146985669,0.582185,1408.486993
90,1.33228,0.750705,1.147386017,0.581575,916.4768087
91,1.332855,0.750315,1.172637925,0.58254,1126.102929
92,1.33074,0.751425,1.159654081,0.579315,966.6588989
93,1.33075,0.751575,1.173167117,0.579175,637.1131351
94,1.33177,0.750975,1.164970738,0.580795,1341.26499
95,1.33005,0.751985,1.111419276,0.578065,1063.894199
96,1.329285,0.752435,1.095623635,0.57685,1067.868597
97,1.329175,0.752515,1.128892869,0.57666,924.2881421
98,1.328875,0.752605,1.117462577,0.57627,1067.20808
99,1.32915,0.752415,1.147982435,0.576735,1137.437471
100,1.329165,0.752685,1.126013776,0.57648,1351.304468
