period,maximum,minimum,mean,volatilty,fd
1,7.061,7.0571,7.058810028,0.0039,0
2,7.059,7.0512,7.074475487,0.0078,39487.17949
3,7.0553,7.0509,7.073214903,0.0044,454.5454545
4,7.0559,7.0509,7.07269415,0.005,0
5,7.0557,7.0527,7.073369359,0.003,0
6,7.0605,7.0533,7.076818384,0.0072,0
7,7.0555,7.0524,7.073473259,0.0031,0
8,7.054,7.0447,7.068616295,0.0093,0
9,7.0528,7.0463,7.068694429,0.0065,12461.53846
10,7.0515,7.0493,7.07007883,0.0022,0
11,7.0522,7.0504,7.071108635,0.0018,0
12,7.0518,7.0469,7.069327019,0.0049,0
13,7.0508,7.0467,7.067619081,0.0041,0
14,7.0508,7.0466,7.066509053,0.0042,0
15,7.0507,7.0466,7.066548189,0.0041,0
16,7.0497,7.047,7.067231894,0.0027,0
17,7.052,7.0472,7.068112535,0.0048,0
18,7.04945,7.04945,7.069086351,0,0
19,7.0518,7.0481,7.068921309,0.0037,0
20,7.0519,7.048,7.06793844,0.0039,0
21,7.0514,7.0473,7.068500418,0.0041,0
22,7.0495,7.0431,7.065422841,0.0064,0
23,7.0461,7.0424,7.063452368,0.0037,0
24,7.0438,7.0399,7.06149805,0.0039,0
25,7.0453,7.0411,7.062454596,0.0042,0
26,7.046,7.0413,7.063052089,0.0047,0
27,7.0464,7.04065,7.063,0.00575,0
28,7.0472,7.0425,7.064703482,0.0047,0
29,7.051,7.0468,7.068741504,0.0042,0
30,7.0512,7.0481,7.069119499,0.0031,0
31,7.051,7.0471,7.068602925,0.0039,0
32,7.0487,7.046,7.066618663,0.0027,0
33,7.0488,7.0468,7.067170474,0.002,0
34,7.0481,7.0428,7.066039554,0.0053,0
35,7.04695,7.0428,7.064035933,0.00415,0
36,7.045,7.0381,7.062367688,0.0069,0
37,7.0396,7.0333,7.05639039,0.0063,0
38,7.0348,7.0252,7.048963649,0.0096,0
39,7.0331,7.0256,7.048334123,0.0075,10133.33333
40,7.0346,7.0318,7.052633148,0.0028,25357.14286
41,7.0333,7.0301,7.050936072,0.0032,0
42,7.0363,7.0322,7.053850836,0.0041,0
43,7.036,7.0336,7.054687465,0.0024,0
44,7.0351,7.0291,7.050371448,0.006,0
45,7.0335,7.0309,7.051768245,0.0026,0
46,7.0342,7.0329,7.053238997,0.0013,0
47,7.0352,7.0336,7.053991922,0.0016,0
48,7.0348,7.0333,7.053748189,0.0015,0
49,7.0347,7.0328,7.053337326,0.0019,0
50,7.0329,7.032,7.052154596,0.0009,0
51,7.036,7.0325,7.052783565,0.0035,0
52,7.0442,7.0356,7.059532451,0.0086,116.2790698
53,7.0443,7.0429,7.063160167,0.0014,19285.71429
54,7.0448,7.0436,7.064033426,0.0012,0
55,7.0451,7.0436,7.064323816,0.0015,0
56,7.0445,7.0397,7.061180919,0.0048,0
57,7.0422,7.0394,7.059549025,0.0028,0
58,7.0428,7.039,7.060378134,0.0038,0
59,7.0399,7.0389,7.058639276,0.001,0
60,7.04,7.0389,7.058850139,0.0011,0
61,7.0401,7.0358,7.057211142,0.0043,0
62,7.0365,7.0331,7.054006964,0.0034,0
63,7.0358,7.0342,7.054039136,0.0016,0
64,7.0359,7.0345,7.054589694,0.0014,0
65,7.0405,7.0352,7.057958496,0.0053,0
66,7.0428,7.0403,7.061368802,0.0025,0
67,7.0427,7.0403,7.060423398,0.0024,0
68,7.0439,7.0412,7.062399164,0.0027,0
69,7.0444,7.0432,7.063393593,0.0012,0
70,7.044,7.0435,7.063279109,0.0005,0
71,7.0445,7.0439,7.063620334,0.0006,0
72,7.0453,7.044,7.064322563,0.0013,0
73,7.0447,7.0431,7.063658496,0.0016,0
74,7.0449,7.0431,7.063697493,0.0018,0
75,7.0451,7.0447,7.064455989,0.0004,0
76,7.0457,7.045,7.065025905,0.0007,0
77,7.0457,7.0448,7.064908914,0.0009,0
78,7.0463,7.0452,7.065459889,0.0011,0
79,7.0465,7.0455,7.06563844,0.001,0
80,7.0465,7.0387,7.06405585,0.0078,0
81,7.0391,7.0293,7.051930362,0.0098,0
82,7.04,7.0312,7.053674095,0.0088,7500
83,7.0397,7.0379,7.058691643,0.0018,10000
84,7.0382,7.0354,7.057227855,0.0028,0
85,7.0397,7.0354,7.057799443,0.0043,0
86,7.0389,7.0389,7.058506964,0,0
87,7.0419,7.0389,7.059680919,0.003,0
88,7.045,7.0417,7.063022563,0.0033,0
89,7.0451,7.0447,7.064488579,0.0004,0
90,7.0459,7.0446,7.06482312,0.0013,0
91,7.0465,7.0458,7.065872423,0.0007,0
92,7.0463,7.0444,7.065055989,0.0019,0
93,7.0445,7.0445,7.064122563,0,0
94,7.0445,7.0445,7.064122563,8.88E-16,0
95,7.0445,7.0445,7.064122563,0,0
96,7.0445,7.0445,7.064122563,0,0
97,7.0445,7.0445,7.064122563,0,0
98,7.0445,7.0445,7.064122563,0,0
99,7.0445,7.0445,7.064122563,0,0
100,7.0445,7.0445,7.064122563,0,0
