period,maximum,minimum,mean,volatilty,fd
1,23.56265,23.533,23.54354192,0.02965,0
2,23.5541,23.53985,23.61252006,0.01425,14526.31579
3,23.552,23.5287,23.61050042,0.0233,0
4,23.5483,23.53325,23.60495822,0.01505,0
5,23.5551,23.53245,23.60400808,0.02265,0
6,23.56375,23.54475,23.61819053,0.019,21315.78947
7,23.56075,23.5458,23.61636532,0.01495,0
8,23.554,23.54335,23.61467437,0.01065,0
9,23.5531,23.5434,23.61408928,0.0097,0
10,23.56675,23.54045,23.61624262,0.0263,0
11,23.5695,23.55275,23.62447493,0.01675,9253.731343
12,23.558,23.5369,23.6170273,0.0211,0
13,23.5566,23.54055,23.61327187,0.01605,0
14,23.554,23.54595,23.61578621,0.00805,0
15,23.553,23.5435,23.61387883,0.0095,0
16,23.5642,23.5483,23.61731838,0.0159,0
17,23.571,23.5444,23.62124095,0.0266,0
18,23.5561,23.54855,23.61711852,0.00755,264.9006623
19,23.551,23.54395,23.61362535,0.00705,0
20,23.551,23.5457,23.61433788,0.0053,0
21,23.5515,23.535,23.61182716,0.0165,0
22,23.5513,23.51265,23.59434735,0.03865,0
23,23.5447,23.522,23.59202604,0.0227,3744.493392
24,23.53685,23.50795,23.59180125,0.0289,69.20415225
25,23.534,23.52365,23.59517855,0.01035,10434.78261
26,23.5301,23.5126,23.58878426,0.0175,0
27,23.527,23.5145,23.58705125,0.0125,0
28,23.5473,23.51915,23.59115669,0.02815,0
29,23.5547,23.5098,23.59097437,0.0449,6748.329621
30,23.53755,23.5167,23.58994164,0.02085,7529.976019
31,23.535,23.51045,23.59083078,0.02455,0
32,23.53035,23.4986,23.58332033,0.03175,31.49606299
33,23.5359,23.5142,23.58720223,0.0217,8525.345622
34,23.5326,23.50435,23.58480752,0.02825,0
35,23.52,23.497,23.57611003,0.023,2086.956522
36,23.515,23.493,23.56854694,0.022,0
37,23.503,23.477,23.55750529,0.026,0
38,23.48905,23.42,23.51245696,0.06905,0
39,23.4345,23.4005,23.48547813,0.034,4705.882353
40,23.432,23.392,23.47492591,0.04,5025
41,23.396,23.343,23.43862939,0.053,2641.509434
42,23.387,23.357,23.43522047,0.03,5200
43,23.39355,23.358,23.44482368,0.03555,8523.206751
44,23.403,23.359,23.44450014,0.044,6886.363636
45,23.39,23.358,23.44159011,0.032,7437.5
46,23.393,23.363,23.44619248,0.03,9500
47,23.396,23.368,23.44782214,0.028,8714.285714
48,23.387,23.366,23.44450292,0.021,6285.714286
49,23.3818,23.341,23.42318064,0.0408,0
50,23.354,23.345,23.4137656,0.009,14444.44444
51,23.372,23.346,23.4211571,0.026,0
52,23.385,23.361,23.43906435,0.024,11458.33333
53,23.383,23.368,23.44054847,0.015,2400
54,23.384,23.365,23.43686448,0.019,0
55,23.386,23.356,23.43541741,0.03,0
56,23.373,23.35025,23.42838635,0.02275,10109.89011
57,23.379,23.3523,23.42847953,0.0267,2172.284644
58,23.371,23.342,23.42144708,0.029,2068.965517
59,23.363,23.334,23.41423482,0.029,3827.586207
60,23.34,23.311,23.39437799,0.029,0
61,23.318,23.2835,23.36823245,0.0345,0
62,23.319,23.29595,23.37210014,0.02305,9414.316703
63,23.3249,23.298,23.37863858,0.0269,7695.167286
64,23.3099,23.292,23.36490501,0.0179,0
65,23.327,23.294,23.38015543,0.033,3636.363636
66,23.3246,23.301,23.37902897,0.0236,9194.915254
67,23.32,23.3,23.37250515,0.02,0
68,23.3374,23.3175,23.39442117,0.0199,15025.12563
69,23.336,23.316,23.39258538,0.02,0
70,23.3503,23.331,23.40542563,0.0193,4300.518135
71,23.3692,23.344,23.42319916,0.0252,7103.174603
72,23.38455,23.36995,23.44204081,0.0146,15479.45205
73,23.3733,23.3517,23.42550655,0.0216,0
74,23.36625,23.3465,23.42287772,0.01975,0
75,23.3695,23.3448,23.42384763,0.0247,0
76,23.369,23.349,23.42384192,0.02,2950
77,23.384,23.3487,23.43206936,0.0353,2492.917847
78,23.386,23.371,23.44328245,0.015,14066.66667
79,23.402,23.3841,23.45888538,0.0179,0
80,23.396,23.242,23.3922585,0.154,0
81,23.293,23.2,23.30812159,0.093,1075.268817
82,23.343,23.267,23.35951825,0.076,2486.842105
83,23.319,23.285,23.36631852,0.034,4558.823529
84,23.333,23.294,23.38154582,0.039,8538.461538
85,23.351,23.319,23.39754596,0.032,9343.75
86,23.36,23.317,23.40223858,0.043,10093.02326
87,23.393,23.3476,23.43304011,0.0454,6387.665198
88,23.434,23.3623,23.46336156,0.0717,4225.941423
89,23.411,23.375,23.45261226,0.036,5027.777778
90,23.408,23.372,23.45430571,0.036,7333.333333
91,23.415,23.368,23.45398955,0.047,8489.361702
92,23.3771,23.346,23.42461323,0.0311,6752.411576
93,23.413,23.357,23.44949833,0.056,5678.571429
94,23.463,23.406,23.50805613,0.057,3210.526316
95,23.47135,23.427,23.51126114,0.04435,4757.609921
96,23.434,23.405,23.48800724,0.029,7000
97,23.428,23.396,23.47724457,0.032,3812.5
98,23.439,23.396,23.48319735,0.043,7302.325581
99,23.442,23.416,23.49742646,0.026,8076.923077
100,23.462,23.4142,23.49981936,0.0478,3912.133891
