period,maximum,minimum,mean,volatilty,fd
1,81.014,81.0035,81.00894652,0.0105,0
2,81.0105,81.0035,81.23115251,0.007,62000
3,81.01925,80.9985,81.22907187,0.02075,0
4,81.0255,81.011,81.24120362,0.0145,0
5,81.024,81.011,81.24005752,0.013,0
6,81.0605,81.0235,81.269539,0.037,0
7,81.1105,81.033,81.27712382,0.0775,0
8,81.1355,81.0415,81.29747061,0.094,2553.191489
9,81.13255,81.0665,81.3132539,0.06605,4420.893263
10,81.2205,81.0815,81.34571783,0.139,690.647482
11,81.2155,81.1361,81.38608886,0.0794,4118.387909
12,81.1755,81.114,81.37079944,0.0615,0
13,81.2075,81.129,81.38042061,0.0785,0
14,81.2895,81.18,81.44762939,0.1095,3908.675799
15,81.3225,81.25635,81.50444889,0.06615,5910.808768
16,81.305,81.24105,81.49629276,0.06395,0
17,81.3665,81.2645,81.52956797,0.102,1029.411765
18,81.4355,81.32905,81.59528384,0.10645,3738.844528
19,81.4475,81.35265,81.62289958,0.09485,4354.243542
20,81.4055,81.32335,81.58207772,0.08215,182.592818
21,81.4145,81.35655,81.60277786,0.05795,5073.339085
22,81.4015,81.3475,81.59713663,0.054,0
23,81.3855,81.2965,81.56658468,0.089,0
24,81.3695,81.2905,81.54498677,0.079,367.0886076
25,81.3795,81.32255,81.5727305,0.05695,5724.319579
26,81.3875,81.3245,81.57555125,0.063,0
27,81.3875,81.3315,81.58353788,0.056,0
28,81.4065,81.34115,81.59159471,0.06535,0
29,81.4365,81.35955,81.61423175,0.07695,259.9090318
30,81.4395,81.38305,81.63124708,0.05645,2533.215235
31,81.4265,81.3745,81.62447688,0.052,0
32,81.4215,81.3695,81.62096532,0.052,0
33,81.4205,81.36215,81.61455376,0.05835,0
34,81.4025,81.26205,81.55380362,0.14045,0
35,81.3465,81.24605,81.50747646,0.10045,3932.304629
36,81.3495,81.2665,81.51533245,0.083,2192.771084
37,81.3125,81.18605,81.45927632,0.12645,15.81652827
38,81.2475,81.13405,81.39694526,0.11345,2327.016307
39,81.1805,81.04865,81.32544318,0.13185,925.2938946
40,81.1355,81.04205,81.31374053,0.09345,2675.227394
41,81.158,81.0695,81.32764345,0.0885,2180.79096
42,81.1675,81.095,81.35365919,0.0725,4400
43,81.2175,81.1295,81.39980195,0.088,3090.909091
44,81.1905,81.117,81.37929526,0.0735,408.1632653
45,81.1745,81.1002,81.34948468,0.0743,0
46,81.148,81.1027,81.35483649,0.0453,0
47,81.1665,81.1123,81.37090167,0.0542,0
48,81.153,81.0955,81.34178969,0.0575,0
49,81.1495,81.087,81.33456936,0.0625,0
50,81.1405,80.9839,81.28759903,0.1566,0
51,81.1755,81.0813,81.35380947,0.0942,2261.146497
52,81.2425,81.158,81.42840251,0.0845,2769.230769
53,81.2275,81.1585,81.4093454,0.069,86.95652174
54,81.2025,81.1385,81.39467967,0.064,0
55,81.1825,81.07,81.35827577,0.1125,0
56,81.1225,81.0665,81.31538162,0.056,5410.714286
57,81.1115,81.047,81.29744123,0.0645,0
58,81.1105,81.0522,81.3079766,0.0583,0
59,81.1075,81.0522,81.29545961,0.0553,0
60,81.0805,81.001,81.26664652,0.0795,0
61,81.0455,80.971,81.22575905,0.0745,0
62,81.0175,80.9605,81.19902089,0.057,0
63,80.976,80.9455,81.18966992,0.0305,0
64,80.9755,80.9445,81.18539833,0.031,0
65,81.005,80.949,81.20050975,0.056,0
66,81.004,80.9535,81.20328412,0.0505,0
67,80.9915,80.947,81.19112953,0.0445,0
68,81.0315,80.9755,81.22633969,0.056,0
69,81.029,80.9785,81.22915627,0.0505,0
70,81.0215,80.9825,81.22623217,0.039,0
71,81.0215,80.983,81.22243245,0.0385,0
72,81.03125,80.968,81.22277632,0.06325,0
73,81.0115,80.954,81.20160571,0.0575,0
74,80.9875,80.9458,81.19296602,0.0417,0
75,80.97255,80.9083,81.17874554,0.06425,0
76,80.9415,80.8919,81.14561003,0.0496,0
77,80.9115,80.8864,81.12152298,0.0251,0
78,80.91205,80.86345,81.10960418,0.0486,0
79,80.91585,80.87935,81.12458858,0.0365,0
80,80.9355,80.7555,81.08127507,0.18,0
81,80.78555,80.7055,80.98168287,0.08005,1823.860087
82,80.86605,80.77355,81.04375877,0.0925,3794.594595
83,80.85125,80.7875,81.04107563,0.06375,3388.235294
84,80.8315,80.79055,81.0366085,0.04095,0
85,80.8315,80.7899,81.02798719,0.0416,0
86,80.82555,80.7913,81.03034415,0.03425,0
87,80.85055,80.806,81.04913663,0.04455,0
88,81.00065,80.8324,81.13272089,0.16825,4225.854383
89,80.95555,80.8619,81.13582437,0.09365,2050.186866
90,80.9515,80.86945,81.12874777,0.08205,1779.402803
91,80.9615,80.8962,81.16534304,0.0653,3032.159265
92,80.93855,80.8708,81.11708565,0.06775,0
93,80.92555,80.8934,81.13766226,0.03215,0
94,80.9915,80.9081,81.1772305,0.0834,0
95,80.9815,80.94355,81.18540237,0.03795,869.5652174
96,80.98555,80.94905,81.19333607,0.0365,0
97,80.97385,80.9031,81.16770557,0.07075,0
98,80.9325,80.9066,81.1457351,0.0259,0
99,80.9515,80.9151,81.1585312,0.0364,0
100,80.96625,80.9263,81.16546811,0.03995,0
