period,maximum,minimum,mean,volatilty,fd
1,140.2915,0.0071298,122.2765403,140.2843702,0
2,140.3615,0.0071261,117.2266875,140.3543739,6.134472166
3,140.314,0.0071269,121.8715675,140.3068731,4.383249276
4,140.2925,0.00712905,124.2381332,140.285371,4.091659708
5,140.3335,0.007127075,124.2554792,140.3263729,2.337408095
6,140.3275,0.00712634,119.1958083,140.3203737,7.304712589
7,140.4685,0.00711975,123.5632945,140.4613803,4.086532533
8,140.4045,0.00712355,121.9850289,140.3973765,3.212310738
9,140.4025,0.0071236,121.9264099,140.3953764,2.628291682
10,140.4715,0.00712195,122.8082053,140.4643781,4.086445318
11,140.4845,0.0071187,124.412013,140.4773813,4.335217487
12,140.4915,0.0071191,125.1795124,140.4843809,3.245912443
13,140.4275,0.00712115,124.3687262,140.4203789,5.547627819
14,140.4275,0.0071221,119.261931,140.4203779,5.255647443
15,140.3875,0.0071232,124.32232,140.3803768,4.388077693
16,140.4885,0.00711915,123.193385,140.4813809,6.128926088
17,140.6075,0.00711245,120.9609242,140.6003876,5.248918676
18,140.6175,0.0071136,124.8722538,140.6103864,3.790616139
19,140.4805,0.00711945,123.5988606,140.4733806,3.50244294
20,140.4215,0.007122,122.4060191,140.414378,4.087900457
21,140.4225,0.00712195,122.372571,140.4153781,4.379862153
22,140.2925,0.007127995,125.3989469,140.285372,4.091659678
23,140.2825,0.00712949,120.6919369,140.2753705,4.091951409
24,140.3045,0.0071271,124.2217944,140.2973729,3.799073275
25,140.312,0.00712715,121.523192,140.3048729,4.383311766
26,140.332,0.00712635,125.8377226,140.3248737,3.213970469
27,140.3895,0.0071232,123.1365404,140.3823768,2.920594517
28,140.4075,0.007122305,113.3659834,140.4003777,8.760660193
29,140.3505,0.00712555,122.7205763,140.3433745,4.382109255
30,140.41,0.0071239,122.3662041,140.4028761,3.504201721
31,140.4425,0.00712119,123.9505445,140.4353788,4.671187599
32,140.3435,0.007126,119.1351915,140.336374,4.054543977
33,140.3305,0.00712635,125.0561572,140.3233737,5.601347655
34,140.3295,0.0071262,128.9615885,140.3223738,2.921843387
35,140.3395,0.0071265,126.1947662,140.3323735,2.921635185
36,140.2525,0.0071323,120.6575387,140.2453677,5.133859405
37,140.1625,0.007134625,124.0811264,140.1553654,4.97305257
