period,maximum,minimum,mean,volatilty,fd
1,19.34166,19.326235,19.33003249,0.015425,0
2,19.3314,19.31818,19.38068538,0.01322,11270.80182
3,19.332035,19.3255,19.38293496,0.006535,0
4,19.3308,19.324315,19.38273485,0.006485,0
5,19.33759,19.32947,19.38445397,0.00812,0
6,19.347105,19.33273,19.39038117,0.014375,0
7,19.340285,19.33578,19.3909756,0.004505,0
8,19.339905,19.32851,19.38743741,0.011395,0
9,19.334095,19.323045,19.38225965,0.01105,0
10,19.333535,19.323045,19.38206387,0.01049,0
11,19.336645,19.322955,19.38059387,0.01369,0
12,19.3309,19.321785,19.37807978,0.009115,0
13,19.3254,19.316515,19.3769074,0.008885,0
14,19.331535,19.319715,19.37704866,0.01182,0
15,19.328285,19.317395,19.37611536,0.01089,0
16,19.332185,19.3208,19.37797486,0.011385,0
17,19.32978,19.3188,19.37974726,0.01098,0
18,19.331945,19.3253,19.37999362,0.006645,0
19,19.32678,19.32495,19.37964483,0.00183,0
20,19.3311,19.3252,19.380115,0.0059,0
21,19.33482,19.319665,19.38161664,0.015155,0
22,19.32973,19.3208,19.37584726,0.00893,0
23,19.3226,19.3159,19.37439235,0.0067,0
24,19.328485,19.313965,19.37461132,0.01452,0
25,19.3243,19.31118,19.37619304,0.01312,0
26,19.3246,19.3218,19.37677039,0.0028,0
27,19.32423,19.31585,19.37655338,0.00838,0
28,19.32475,19.32169,19.37665462,0.00306,0
29,19.323705,19.3196,19.37572542,0.004105,0
30,19.32502,19.3198,19.37623188,0.00522,0
31,19.32491,19.3182,19.37648322,0.00671,0
32,19.3264,19.31488,19.37342266,0.01152,0
33,19.32441,19.318135,19.37493442,0.006275,0
34,19.329,19.317595,19.37588149,0.011405,0
35,19.32437,19.3194,19.37661588,0.00497,0
36,19.3225,19.31854,19.37351517,0.00396,0
37,19.31972,19.3005,19.36641316,0.01922,0
38,19.31289,19.30362,19.36109224,0.00927,0
39,19.32006,19.30268,19.36473588,0.01738,0
40,19.3204,19.312,19.37097468,0.0084,0
41,19.3154,19.3036,19.36130678,0.0118,0
42,19.32366,19.3119,19.37238766,0.01176,0
43,19.3341,19.31445,19.38176578,0.01965,0
44,19.3162,19.30422,19.36378983,0.01198,0
45,19.3361,19.30345,19.37264156,0.03265,888.2082695
46,19.3424,19.32325,19.38414916,0.01915,4543.08094
47,19.34241,19.32309,19.38674847,0.01932,2018.63354
48,19.3303,19.32146,19.3793405,0.00884,0
49,19.32711,19.318435,19.37747195,0.008675,0
50,19.34508,19.31715,19.38070071,0.02793,0
51,19.3538,19.343,19.40158865,0.0108,7592.592593
52,19.3605,19.34812,19.40896145,0.01238,0
53,19.3716,19.35815,19.41487625,0.01345,0
54,19.377235,19.36567,19.42410131,0.011565,0
55,19.3752,19.35943,19.42301309,0.01577,0
56,19.37346,19.35944,19.41883281,0.01402,0
57,19.3761,19.36764,19.42583435,0.00846,0
58,19.37678,19.35265,19.41664022,0.02413,0
59,19.36531,19.3554,19.41355331,0.00991,6861.755802
60,19.37942,19.3517,19.41820758,0.02772,0
61,19.381,19.34029,19.41927089,0.04071,2431.83493
62,19.34487,19.33295,19.39182925,0.01192,6040.268456
63,19.34121,19.332,19.38915989,0.00921,0
64,19.346835,19.33306,19.3920655,0.013775,0
65,19.33592,19.31777,19.38124922,0.01815,0
66,19.32695,19.3139,19.37551318,0.01305,0
67,19.33264,19.3207,19.37829639,0.01194,0
68,19.3408,19.32798,19.39170627,0.01282,0
69,19.329,19.32092,19.37843432,0.00808,0
70,19.33906,19.31638,19.38351572,0.02268,0
71,19.34162,19.335795,19.39234281,0.005825,15450.64378
72,19.34419,19.33531,19.39244571,0.00888,0
73,19.34089,19.3237,19.38490333,0.01719,0
74,19.3413,19.32685,19.39033102,0.01445,0
75,19.336115,19.3282,19.38736848,0.007915,0
76,19.33807,19.3303,19.38709485,0.00777,0
77,19.33879,19.3134,19.3803226,0.02539,0
78,19.3168,19.2975,19.35720876,0.0193,0
79,19.3295,19.3053,19.37196916,0.0242,4669.421488
80,19.3284,19.25833,19.34329146,0.07007,1255.88697
81,19.2883,19.25093,19.3193877,0.03737,1873.160289
82,19.30838,19.2695,19.33888311,0.03888,4475.308642
83,19.29841,19.2804,19.34103255,0.01801,8495.2804
84,19.3078,19.2767,19.34333035,0.0311,353.6977492
85,19.31618,19.2978,19.35991313,0.01838,7780.195865
86,19.349,19.3067,19.38609075,0.0423,4420.803783
87,19.36902,19.3413,19.4086145,0.02772,4401.154401
88,19.39103,19.35708,19.43226375,0.03395,4123.71134
89,19.3824,19.34395,19.4140168,0.03845,3511.053316
90,19.35915,19.34408,19.40311852,0.01507,7100.199071
91,19.36295,19.3491,19.41106588,0.01385,0
92,19.36706,19.34555,19.41129235,0.02151,0
93,19.3826,19.35195,19.42070536,0.03065,4143.556281
94,19.39397,19.37481,19.43964632,0.01916,6367.43215
95,19.3863,19.36847,19.42926663,0.01783,0
96,19.37874,19.3635,19.42725688,0.01524,0
97,19.39442,19.3782,19.442749,0.01622,7090.01233
98,19.3943,19.38223,19.44335199,0.01207,0
99,19.3981,19.3859,19.44730447,0.0122,0
100,19.391895,19.37881,19.44142479,0.013085,0
