period,maximum,minimum,mean,volatilty,fd
1,4.56545,4.56095,4.563034011,0.0045,0
2,4.56515,4.5624,4.57645163,0.00275,101818.1818
3,4.56465,4.5619,4.576157103,0.00275,0
4,4.56355,4.55995,4.574845501,0.0036,0
5,4.56445,4.55845,4.574824805,0.006,0
6,4.56575,4.5635,4.577438914,0.00225,60888.88889
7,4.56555,4.56365,4.577273426,0.0019,0
8,4.56525,4.5631,4.576759206,0.00215,0
9,4.56525,4.5633,4.576848607,0.00195,0
10,4.56705,4.56275,4.577115655,0.0043,0
11,4.56735,4.56515,4.578682033,0.0022,20000
12,4.56595,4.5625,4.577302312,0.00345,0
13,4.56485,4.5609,4.57636656,0.00395,0
14,4.56535,4.5632,4.576772019,0.00215,0
15,4.56495,4.56285,4.576435014,0.0021,0
16,4.5665,4.5636,4.577160487,0.0029,0
17,4.56635,4.5642,4.577879805,0.00215,0
18,4.5678,4.56335,4.577979053,0.00445,0
19,4.56568,4.5634,4.577080376,0.00228,0
20,4.56579,4.5633,4.577144192,0.00249,0
21,4.56575,4.56165,4.576661574,0.0041,0
22,4.56315,4.5589,4.573341198,0.00425,0
23,4.561935,4.55905,4.572721267,0.002885,0
24,4.561955,4.55835,4.572836253,0.003605,0
25,4.56185,4.55815,4.5730639,0.0037,0
26,4.56055,4.55645,4.571678106,0.0041,0
27,4.56035,4.55635,4.571431685,0.004,0
28,4.56105,4.55715,4.572069485,0.0039,0
29,4.56185,4.55565,4.572281588,0.0062,0
30,4.55965,4.55465,4.570904415,0.005,35000
31,4.56055,4.5555,4.571071699,0.00505,32277.22772
32,4.55742,4.55305,4.56822234,0.00437,0
33,4.55565,4.54875,4.566491309,0.0069,0
34,4.552995,4.54869,4.56405578,0.004305,45993.03136
35,4.551295,4.54695,4.562301476,0.004345,0
36,4.55004,4.5458,4.56084163,0.00424,0
37,4.54745,4.54037,4.556860334,0.00708,0
38,4.54357,4.53205,4.549622591,0.01152,6770.833333
39,4.53535,4.52675,4.544077967,0.0086,27906.97674
40,4.53391,4.52445,4.54075117,0.00946,27589.85201
41,4.52603,4.51985,4.535495292,0.00618,37702.26537
42,4.52573,4.52005,4.535356295,0.00568,54577.46479
43,4.52633,4.51815,4.536114721,0.00818,42053.78973
44,4.52325,4.51505,4.532051866,0.0082,36097.56098
45,4.5236,4.5145,4.531606379,0.0091,29670.32967
46,4.5283,4.51951,4.536873565,0.00879,24118.31627
47,4.5284,4.51945,4.537331462,0.00895,31396.64804
48,4.5242,4.5183,4.534087869,0.0059,33220.33898
49,4.5239,4.51876,4.534180822,0.00514,69649.80545
50,4.52485,4.51903,4.534147827,0.00582,31958.76289
51,4.52555,4.51955,4.534425947,0.006,37333.33333
52,4.529225,4.52089,4.538503273,0.008335,37552.4895
53,4.52795,4.52253,4.537808858,0.00542,44833.94834
54,4.52618,4.52035,4.535083189,0.00583,7890.222985
55,4.52491,4.51792,4.533772939,0.00699,26752.50358
56,4.52085,4.51125,4.528646727,0.0096,17916.66667
57,4.519,4.51025,4.526883928,0.00875,23428.57143
58,4.522,4.51505,4.530060543,0.00695,32661.8705
59,4.52375,4.51633,4.53151117,0.00742,41913.74663
60,4.51985,4.51045,4.528610613,0.0094,34574.46809
61,4.515,4.50645,4.524300627,0.00855,28771.92982
62,4.5147,4.50957,4.524672674,0.00513,53021.4425
63,4.5138,4.5081,4.52400163,0.0057,32280.70175
64,4.51285,4.50675,4.521684777,0.0061,12950.81967
65,4.51945,4.5102,4.52824993,0.00925,29081.08108
66,4.51835,4.50667,4.526376421,0.01168,23886.9863
67,4.5159,4.50885,4.525325056,0.00705,23829.78723
68,4.5207,4.51565,4.531451031,0.00505,29702.9703
69,4.52525,4.5185,4.533217298,0.00675,37629.62963
70,4.52465,4.52116,4.535545864,0.00349,67048.7106
71,4.52455,4.52002,4.534853677,0.00453,0
72,4.5291,4.52275,4.538725167,0.00635,58425.19685
73,4.5276,4.5209,4.536862758,0.0067,43283.58209
74,4.52615,4.5218,4.536655251,0.00435,62988.50575
75,4.5255,4.52115,4.536009582,0.00435,0
76,4.52675,4.52335,4.537968691,0.0034,63529.41176
77,4.52805,4.5206,4.537472521,0.00745,0
78,4.5269,4.52197,4.53721383,0.00493,51521.29817
79,4.52924,4.525,4.539516114,0.00424,75000
80,4.52725,4.48847,4.522290195,0.03878,0
81,4.50525,4.47591,4.504368733,0.02934,3476.482618
82,4.51475,4.49615,4.517708468,0.0186,9032.258065
83,4.50633,4.49815,4.514776351,0.00818,20660.1467
84,4.50844,4.5007,4.517745209,0.00774,37596.89922
85,4.5142,4.5066,4.522405042,0.0076,37894.73684
86,4.51755,4.50555,4.52360234,0.012,27916.66667
87,4.52549,4.5154,4.53330922,0.01009,22001.98216
88,4.5325,4.519,4.538885111,0.0135,21185.18519
89,4.52825,4.5199,4.535719903,0.00835,26347.30539
90,4.52362,4.5167,4.533276323,0.00692,37283.23699
91,4.52202,4.51115,4.528418635,0.01087,24011.03956
92,4.51189,4.50379,4.520559248,0.0081,24938.2716
93,4.51818,4.50652,4.524708538,0.01166,17924.5283
94,4.53116,4.51695,4.536757228,0.01421,22800.84448
95,4.52335,4.51474,4.531929666,0.00861,21022.06736
96,4.51655,4.51127,4.526527521,0.00528,47537.87879
97,4.51735,4.51046,4.526477298,0.00689,31204.64441
98,4.51845,4.5104,4.526779638,0.00805,47453.41615
99,4.52113,4.51458,4.530578677,0.00655,33587.78626
100,4.52355,4.51418,4.530484443,0.00937,23159.01814
